date,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
2017-10-06,-0.576709435427601,-0.5124604648259,-0.621228951389031,-0.0853798018061022,-0.421578295764746,-0.566798817590332
2017-10-13,-0.583783061446055,-0.529235897093981,-0.623985547556531,-0.092548930444993,-0.442236844970597,-0.566861668838547
2017-10-20,-0.590619922374364,-0.547865689767891,-0.628010098248607,-0.0979018822634819,-0.463789913338774,-0.566460576764179
2017-10-27,-0.596009381919869,-0.566317999321961,-0.632587649148763,-0.100933792173695,-0.484832089396155,-0.565540121505175
2017-11-03,-0.600213933890833,-0.583999917108952,-0.638220671018939,-0.101199633406636,-0.504632331015891,-0.564053263218925
2017-11-10,-0.602381318800557,-0.596533483658492,-0.643783009653399,-0.0991464305435973,-0.522113221808134,-0.561964759404622
2017-11-17,-0.603504246174274,-0.604046525642583,-0.648909731554982,-0.0958449714537608,-0.537192260555981,-0.559252087187247
2017-11-24,-0.60441528889641,-0.606731727290649,-0.653893310438703,-0.0923702686116132,-0.549102709020712,-0.555906004713704
2017-12-01,-0.605500458313561,-0.607336146293112,-0.658624780043384,-0.0895203928410268,-0.55779696141282,-0.551932125014518
2017-12-08,-0.606780332100723,-0.607599845421656,-0.662934326573193,-0.0879366434096375,-0.563191908540591,-0.547349976833809
2017-12-15,-0.609471441255897,-0.610210824085684,-0.667174053085986,-0.0884233765180779,-0.565771131645691,-0.542193135424765
2017-12-22,-0.613258867232356,-0.616416690437111,-0.671116508939311,-0.0906773924458558,-0.566424263433977,-0.53650874799071
2017-12-29,-0.616892887043843,-0.624741817211761,-0.673435568932277,-0.0943001977421993,-0.566204184689946,-0.530354632119203
2018-01-05,-0.620514951113301,-0.631319362452551,-0.67359826263168,-0.0989399616882918,-0.566604293894532,-0.5237910717701
2018-01-12,-0.620533765812418,-0.630951875980823,-0.668920050666925,-0.102906050753231,-0.569211911092453,-0.5168935416043
2018-01-19,-0.616136854098736,-0.621893852876428,-0.659209569853473,-0.104941908205831,-0.575175901109697,-0.509726944291643
2018-01-26,-0.607294762799705,-0.604566591130292,-0.644661298337126,-0.104166206577367,-0.585639127343285,-0.50235383613964
2018-02-02,-0.593637908524623,-0.58133586417422,-0.626157130372584,-0.0995363839828565,-0.600850570810375,-0.494831473648009
2018-02-09,-0.576053145348479,-0.55559819010055,-0.604741328889016,-0.0914099794322628,-0.620296118406274,-0.487211083663958
2018-02-16,-0.560348727690084,-0.535842591053854,-0.584887577787754,-0.0810973010746123,-0.643931492524925,-0.47953871441915
2018-02-23,-0.545442228889975,-0.519403042668889,-0.566663409011708,-0.0691564678680441,-0.669707131726619,-0.471857630450447
2018-03-02,-0.531027977424391,-0.503674810506396,-0.549777288067524,-0.0569352275024345,-0.695624221482541,-0.464209921689584
2018-03-09,-0.517839060235325,-0.486413664568018,-0.535488368447143,-0.0453426827802141,-0.71943500234015,-0.456638098318357
